zona,hayMovimiento,fecha
Casa/Salon,1,2024-01-22 21:00:30
Casa/Salon,1,2024-01-22 21:00:35
Casa/Salon,1,2024-01-22 21:00:45
Casa/Salon,1,2024-01-22 21:01:00
Casa/Salon,1,2024-01-22 21:01:20
Casa/Salon,1,2024-01-22 21:01:25
Casa/Salon,1,2024-01-22 21:01:30
Casa/Salon,1,2024-01-22 21:01:35
Casa/Salon,1,2024-01-22 21:01:50
Casa/Salon,1,2024-01-22 21:02:00
Casa/Salon,1,2024-01-22 21:02:05
Casa/Salon,1,2024-01-22 21:02:10
Casa/Salon,1,2024-01-22 21:02:15
Casa/Salon,1,2024-01-22 21:02:20
Casa/Salon,1,2024-01-22 21:02:25
Casa/Salon,1,2024-01-22 21:02:30
Casa/Salon,1,2024-01-22 21:02:35
Casa/Salon,1,2024-01-22 21:02:45
Casa/Salon,1,2024-01-22 21:02:50
Casa/Salon,1,2024-01-22 21:02:55
Casa/Salon,1,2024-01-22 21:03:00
Casa/Salon,1,2024-01-22 21:03:05
Casa/Salon,1,2024-01-22 21:03:10
Casa/Salon,1,2024-01-22 21:03:15
Casa/Salon,1,2024-01-22 21:03:20
Casa/Salon,1,2024-01-22 21:03:40
Casa/Salon,1,2024-01-22 21:04:20
Casa/Salon,1,2024-01-22 21:04:25
Casa/Salon,1,2024-01-22 21:04:30
Casa/Salon,1,2024-01-22 21:04:35
Casa/Salon,1,2024-01-22 21:04:40
Casa/Salon,1,2024-01-22 21:04:45
Casa/Salon,1,2024-01-22 21:04:50
Casa/Salon,1,2024-01-22 21:04:55
Casa/Salon,1,2024-01-22 21:05:05
Casa/Salon,1,2024-01-22 21:05:15
Casa/Salon,1,2024-01-22 21:05:25
Casa/Salon,1,2024-01-22 21:05:30
Casa/Salon,1,2024-01-22 21:05:35
Casa/Salon,1,2024-01-22 21:05:40
Casa/Salon,1,2024-01-22 21:05:45
Casa/Salon,1,2024-01-22 21:05:50
Casa/Salon,1,2024-01-22 21:05:55
Casa/Salon,1,2024-01-22 21:06:05
Casa/Salon,1,2024-01-22 21:06:15
Casa/Salon,1,2024-01-22 21:06:20
Casa/Salon,1,2024-01-22 21:06:25
Casa/Salon,1,2024-01-22 21:06:30
Casa/Salon,1,2024-01-22 21:06:35
Casa/Salon,1,2024-01-22 21:06:50
Casa/Salon,1,2024-01-22 21:07:00
Casa/Salon,1,2024-01-22 21:07:05
Casa/Salon,1,2024-01-22 21:07:15
Casa/Salon,1,2024-01-22 21:07:20
Casa/Salon,1,2024-01-22 21:07:25
Casa/Salon,1,2024-01-22 21:07:30
Casa/Salon,1,2024-01-22 21:07:35
Casa/Salon,1,2024-01-22 21:07:40
Casa/Salon,1,2024-01-22 21:07:45
Casa/Salon,1,2024-01-22 21:07:55
Casa/Salon,1,2024-01-22 21:08:00
Casa/Salon,1,2024-01-22 21:08:05
Casa/Salon,1,2024-01-22 21:08:10
Casa/Salon,1,2024-01-22 21:08:15
Casa/Salon,1,2024-01-22 21:08:20
Casa/Salon,1,2024-01-22 21:08:25
Casa/Salon,1,2024-01-22 21:08:35
Casa/Salon,1,2024-01-22 21:08:40
Casa/Salon,1,2024-01-22 21:08:45
Casa/Salon,1,2024-01-22 21:08:50
